Country Name,CoHD,CoHD_pov,CoHD_headcount,CoHD_unafford_n,Population,Annual Growth Rate %,Total Fertility Rate,"Life Expectancy at Birth, Both Sexes",Net Migration Rate
Switzerland,2.523,2.548,0,0,8231519,0.683,1.5567,82.58,4.68
"Taiwan, China",3.99,4.03,0.2,0.1,23520367,0.141,1.125,80.39,0.37
Tajikistan,3.027,3.058,42.9,3.8,8458972,1.602,2.63,67.84,-1.11
Tanzania,2.598,2.624,88.7,48.5,55303380,3.065,4.7875,67.32,0.49
Thailand,3.971,4.011,17.5,12.1,68607190,0.375,1.5291,76.41,0.27
Togo,,,,,7471768,2.642,4.48,69.24,-2.05
Trinidad and Tobago,3.928,3.968,10.7,0.1,1364964,0.433,1.6797,74.73,0.27
Tunisia,3.476,3.511,21.8,2.5,11403062,1.012,2.23,75.66,-1.71
Turkey,2.873,2.902,6.9,5.6,80808069,0.531,2.014,74.92,-4.53
Turks and Caicos Islands,2.809,2.837,,,52711,2.184,1.7,80.77,9.49
Uganda,2.749,2.777,84.8,34.9,39184992,4.238,5.804,66.71,4.05
United Arab Emirates,2.755,2.783,0,0,9543192,1.071,1.6906,78.59,1.1
United Kingdom,1.822,1.84,0.5,0.3,65783069,0.672,1.7559,81.28,4.33
United States,3.225,3.258,2,6.5,324985539,0.63,,,2.5
Upper middle income,3.524,,16.5,401.2,,,,,
Uruguay,3.073,3.104,2.7,0.1,3362462,0.269,1.8,77.44,-0.89
Vietnam,3.586,3.622,32.4,30.7,98482273,1.121,2.04,74.61,-0.27
West Bank and Gaza,3.342,3.376,25.4,1.1,,,,,
World,3.314,,42.9,3049.1,,,,,
Zambia,3.085,3.116,87.6,14.8,16920529,3.085,4.9035,64.49,0.79
Zimbabwe,3.456,3.491,84.1,12,13805081,1.554,3.984,60.37,-8.45
